date/time	settlement id	type	order id	sku	quantity	marketplace	fulfillment	order city	order state	order postal	product sales	shipping credits	gift wrap credits	promotional rebates	sales tax collected	selling fees	fba fees	other transaction fees	other	total	description
2016-03-07	6066231731	Order	111-4825916-2534624	DS-PFA5-RTV4	1	amazon.com	Amazon	TAMPA	FL	33629-8709	72.98	0	0	0	0	-10.95	-5.96	0	0	56.07	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-07	6066231731	Order	112-3356129-9895411	7H-6UWI-WVF7	1	amazon.com	Amazon	Birmingham	AL	35242-6935	151.95	11.99	0	0	0	-22.79	-28.28	0	0	112.87	Keurig K450 2.0 Brewing System, Red
2016-03-07	6066231731	Order	115-4421202-1481855	EA-E17A-HV0V	1	amazon.com	Amazon	LITTLETON,	CO	80127-1931	182.90	0	0	0	0	-27.44	-13.95	0	0	141.51	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-08	6066231731	Order	102-7767288-8193050	H8-46MZ-U7GG	1	amazon.com	Amazon	SHELBYVILLE	KY	40065-9035	73.23	0	0	0	0	-5.86	-9.27	0	0	58.10	Crosley CR8005A-RE Cruiser Portable 3-Speed Turntable (Red)
2016-03-08	6066231731	Order	108-9923927-6407441	DS-PFA5-RTV4	1	amazon.com	Amazon	NEWPORT	VERMONT	05855-4441	72.97	7.99	0	0	0	-10.95	-13.95	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-08	6066231731	Order	S01-4965993-6113326	DZ-5P6Q-V3IG	1	sim1.stores.amazon.com	Amazon	San Antonio	TX	78232	0	0	0	0	0	0	-5.50	0	0	-5.50	SanDisk Connect 64GB Wireless Media Drive For Smartphones And Tablets - SDWS1-064G-A57
2016-03-08	6066231731	Order	S01-4965993-6113326			sim1.stores.amazon.com	Amazon	San Antonio	TX	78232	0	0	0	0	0	0	0	0	-0.45	-0.45	FBA transportation fee
2016-03-08	6066231731	Order	109-2862465-4966649	EA-E17A-HV0V	1	amazon.com	Amazon	Granite Bay	CA	95746	188.80	27.52	0	0	0	-28.32	-41.47	0	0	146.53	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-08	6066231731	Order	106-0164693-4573829	EA-E17A-HV0V	1	amazon.com	Amazon	EUGENE	OR	97405-3342	182.90	0	0	0	0	-27.44	-13.95	0	0	141.51	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-08	6066231731	Order	114-8007026-9593004	EA-E17A-HV0V	1	amazon.com	Amazon	MONTEBELLO	CA	90640-3139	188.80	0	0	0	0	-28.32	-13.95	0	0	146.53	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-08	6066231731	Refund	111-3114977-4537062	7H-GVQ9-WSVQ	1	amazon.com	Amazon	DUBUQUE	IA	52002-2348	-93.76	0	0	0	0	11.25	0	0	0	-82.51	NutriBullet Pro, 9 Piece Set
2016-03-08	6066231731	Order	103-4659404-5852246	EA-E17A-HV0V	1	amazon.com	Amazon	ODESSA	TX	79766-9447	188.80	0	0	0	0	-28.32	-13.95	0	0	146.53	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-08	6066231731	Order	002-6957526-9861036	DS-PFA5-RTV4	1	amazon.com	Amazon	Richmond	VA	23229	72.98	0	0	0	0	-10.95	-5.96	0	0	56.07	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-08	6066231731	Order	002-8016750-9428201	DS-PFA5-RTV4	1	amazon.com	Amazon	RIDGEFIELD PARK	NJ	07660-1347	72.97	0	0	0	5.11	-10.95	-5.96	-0.15	0	61.02	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
