return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	status
2017-01-22	002-7958980-2123448	GH-50	B01CXHXJKK	X0013ANGIZ	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foo	1	LEX2	CUSTOMER_DAMAGED	DEFECTIVE	Unit returned to inventory
2017-01-20	103-2578728-1083459	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX1	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2017-01-20	113-9582089-3680231	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Magnetic Windshield Cover - Huge Size Fits Any Car, Truck, SUV, Van or Automobile - Keeps Ice & Snow Off - Top Quality Exterior Auto Snow Win	1	LAS2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2017-01-20	113-9582089-3680231	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Magnetic Windshield Cover - Huge Size Fits Any Car, Truck, SUV, Van or Automobile - Keeps Ice & Snow Off - Top Quality Exterior Auto Snow Win	1	LAS2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2017-01-20	113-9582089-3680231	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Magnetic Windshield Cover - Huge Size Fits Any Car, Truck, SUV, Van or Automobile - Keeps Ice & Snow Off - Top Quality Exterior Auto Snow Win	1	LAS2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2017-01-20	113-9582089-3680231	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Magnetic Windshield Cover - Huge Size Fits Any Car, Truck, SUV, Van or Automobile - Keeps Ice & Snow Off - Top Quality Exterior Auto Snow Win	1	LAS2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2017-01-19	105-4370924-2900261	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	CUSTOMER_DAMAGED	NOT_AS_DESCRIBED	Unit returned to inventory
2017-01-19	105-0419772-3181018	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX1	SELLABLE	PART_NOT_COMPATIBLE	Unit returned to inventory
2017-01-19	116-9337803-6231429	GH-25B-2	B01HLJ7K6Y	X00150DKKR	New Version FULL SET 25ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Flexible, Expanding Garden and Utility Water Hose, 25 f	1	LEX2	CUSTOMER_DAMAGED	NOT_AS_DESCRIBED	Unit returned to inventory
2017-01-19	002-2759899-6385804	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX1	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2017-01-18	110-4488595-8147410	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	CUSTOMER_DAMAGED	NOT_COMPATIBLE	Unit returned to inventory
2017-01-18	111-8243418-8811419	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	DEFECTIVE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2017-01-18	113-6238994-2957856	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Magnetic Windshield Cover - Huge Size Fits Any Car, Truck, SUV, Van or Automobile - Keeps Ice & Snow Off - Top Quality Exterior Auto Snow Win	1	LEX1	SELLABLE	DEFECTIVE	Unit returned to inventory
2017-01-17	116-6901485-2476253	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2017-01-17	112-0626173-4736243	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2017-01-17	113-5038962-9725858	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	CUSTOMER_DAMAGED	NOT_COMPATIBLE	Unit returned to inventory
2017-01-16	106-0596974-4401031	Lenovo TAB3 A8 8-Inch 496727	B01GE9R0GC	X0017D5WSF	Lenovo TAB3 A8-ZA170001US 8-Inch 16 GB Tablet (Black)	1	LAS2	CUSTOMER_DAMAGED	NO_REASON_GIVEN	Unit returned to inventory
2017-01-16	002-5522900-9245031	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	DAMAGED	DAMAGED_BY_FC	Reimbursed
2017-01-16	106-2210644-4290607	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2017-01-16	111-5610847-3579469	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2017-01-16	002-8855717-2181052	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX2	SELLABLE	ORDERED_WRONG_ITEM	Unit returned to inventory
2017-01-15	111-8734303-9931423	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX1	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2017-01-15	105-4254994-5023429	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX1	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2017-01-14	104-9057915-1392261	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Universal Magnetic Snow Cover	1	LEX2	SELLABLE	DEFECTIVE	Unit returned to inventory
2017-01-14	104-9057915-1392261	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Universal Magnetic Snow Cover	1	LEX2	SELLABLE	DEFECTIVE	Unit returned to inventory
2017-01-13	002-6648063-5852215	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Universal Magnetic Snow Cover	1	LEX2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2017-01-13	104-5051917-9760218	Samsung CF390 830203	B01CX26WPY	X0017YYOOH	Samsung CF390 Series Curved 24-Inch FHD Monitor (C24F390)	1	CVG2	CARRIER_DAMAGED	ORDERED_WRONG_ITEM	Reimbursed
