return-date	order-id	sku	asin	fnsku
2017-01-09	109-1941066-6522649	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-08	109-0702933-1607434	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-08	106-2034332-3427419	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-07	114-9617577-3935442	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-07	105-5362924-8611454	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-07	103-9309552-5145045	S55-C5274NEW-OB	B01B5WFX6C	X0014SU8CD
2017-01-07	106-6714042-4451424	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-07	106-6714042-4451424	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-06	002-5962147-4252235	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-05	113-5042227-1686603	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-05	115-9561313-9769827	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-05	115-1180437-9871450	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-05	105-8023408-9481868	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-05	112-5502677-9352206	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-04	105-6052440-0780231	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-03	111-1979106-6829832	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-03	110-8241310-1156206	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-03	116-6901485-2476253	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-03	113-3016531-4153031	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2017-01-03	114-4924843-6546653	GH-50	B01CXHXJKK	X0013ANGIZ
2016-12-31	107-4765291-7223433	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-30	113-7509899-8140240	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-30	104-5935127-4824249	Dell i3168-3271BLU	B01F3R8XC6	X0016QULPR
2016-12-29	104-0324918-1351463	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-29	108-1416414-9849809	GH-75B-2	B01HLJ7K82	X00150D7B9
2016-12-28	111-0087833-4186653	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-28	109-1849878-3817021	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-27	111-5434640-6794638	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-27	111-0087833-4186653	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-27	115-6635643-1059415	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-27	107-8778016-0706626	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-27	116-4557113-9537036	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-26	111-8883334-4924233	GH-75B-2	B01HLJ7K82	X00150D7B9
2016-12-24	116-9039227-4670653	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-23	102-5948848-8167465	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-23	111-0581088-4421821	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-23	106-6989915-3909854	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-23	108-8889399-1957061	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-23	106-0956431-9086610	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-22	105-4061040-2158637	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-22	105-4061040-2158637	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-22	110-5631030-1254627	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-22	105-0912246-8789062	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-21	112-6139268-2143403	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-21	109-4850893-7195408	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-21	109-4850893-7195408	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-20	110-2550940-9120231	4G-O2GZ-11VX	B015JV81KA	X000ZZ3963
2016-12-20	112-3139338-0501845	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-20	110-9687703-6027463	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-20	108-2409327-8235461	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-20	002-4360397-3166659	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-19	115-2009529-8397808	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-19	105-2338942-4040225	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-17	113-4036482-9520219	GH-100B-2	B01HLJ7K78	X00150D7BJ
2016-12-17	002-9373494-7410602	Samsung CF390 830203	B01CX26WPY	X0017YYOOH
2016-12-17	106-4609206-5859419	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-16	107-4359101-3805852	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-16	102-8720513-3105061	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-16	107-6010641-3950631	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-15	115-2693113-7823468	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-15	116-7284913-1413063	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-15	114-8877565-8560248	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-15	111-1016209-1514631	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-14	111-1319465-0666661	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-14	102-4924720-7214623	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
