adjusted-date	transaction-item-id	fnsku	sku	product-name	fulfillment-center-id	quantity	reason	disposition
2016-09-01T07:00:00+00:00	45974041605	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	DFW7	1	F	SELLABLE
2016-09-01T07:00:00+00:00	10037006603	X0016B9OW3	Acer 17inch Win 7	Acer Aspire 17 Inch Laptop (2.4 Ghz Intel Pentium 2020M Processor, 4GB RAM, 500GB Hard Drive, Windows 7 Home Premium)	OAK3	1	F	SELLABLE
2016-09-01T07:00:00+00:00	10036927603	X0016B9OW3	Acer 17inch Win 7	Acer Aspire 17 Inch Laptop (2.4 Ghz Intel Pentium 2020M Processor, 4GB RAM, 500GB Hard Drive, Windows 7 Home Premium)	OAK3	-1	M	SELLABLE
2016-08-30T07:00:00+00:00	114683185021	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	LEX2	-1	M	UNSELLABLE
2016-08-30T07:00:00+00:00	114683099021	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	LEX2	1	F	UNSELLABLE
2016-08-29T07:00:00+00:00	89836292007	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	LEX1	-1	M	UNSELLABLE
2016-08-29T07:00:00+00:00	58480127172	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	ONT2	-1	M	UNSELLABLE
2016-08-29T07:00:00+00:00	89836291007	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	LEX1	-1	M	UNSELLABLE
2016-08-29T07:00:00+00:00	58480131172	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	ONT2	-1	M	UNSELLABLE
2016-08-29T07:00:00+00:00	58480129172	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	ONT2	-1	M	UNSELLABLE
2016-08-29T07:00:00+00:00	58480128172	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	ONT2	-1	M	UNSELLABLE
