approval-date	reimbursement-id	case-id	amazon-order-id	reason	sku	fnsku	asin	product-name	condition	currency-unit	amount-per-unit	amount-total	quantity-reimbursed-cash	quantity-reimbursed-inventory	quantity-reimbursed-total	original-reimbursement-id	original-reimbursement-type
2016-10-06T00:00:00+00:00	724013181		102-1291163-0259427	CustomerReturn	Acer 17inch Win 7	X0016B9OW3	B00I3DOZEI	Acer Aspire 17 Inch Laptop (2.4 Ghz Intel Pentium 2020M Processor, 4GB RAM, 500GB Hard Drive, Windows 7 Home Premium)	NewItem	USD	353.57	0.00	0	1	1		
2016-09-25T00:00:00+00:00	712240721		114-1044726-0759440	CustomerReturn	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	0.00	0	1	1		
2016-09-23T00:00:00+00:00	709876331	1884796111	112-1123618-1079449	CustomerServiceIssue						USD	58.60	58.60					
2016-09-22T00:00:00+00:00	708717911		106-7711154-5732232	CustomerReturn	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	31.27	31.27	1	0	1		
2016-09-20T00:00:00+00:00	706557341	1881040021		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	24.47	1	0	1		
2016-09-17T00:00:00+00:00	704936751	1878675501		Damaged_Warehouse	IceKing-SC-70	X000YC2AS5	B01BE5Q4FY	Ice King Magnetic Windshield Cover - Huge Size Fits Any Car, Truck, SUV, Van or Automobile - Keeps Ice & Snow Off - Top Quality Exterior Auto Snow Windshield Cover With Magnetic Edges	NewItem	USD	18.22	0.00	0	1	1		
2016-09-16T00:00:00+00:00	703600431	1877490821		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	24.47	1	0	1		
2016-09-15T00:00:00+00:00	702869451		115-0199977-4052275	CustomerReturn	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	24.47	1	0	1		
2016-09-14T00:00:00+00:00	701493341		102-7610558-7248200	CustomerReturn	80MJ00AEUS	X0014QUR7L	B00ZR6GMVS	Lenovo Ideapad 100 15.6-Inch Laptop (Pentium, 4 GB RAM, 500 GB HDD, Windows 10) 80MJ00AEUS	NewItem	USD	245.63	245.63	1	0	1		
2016-09-14T00:00:00+00:00	700944731	1847435511		FeeCorrection						USD	22.05	22.05					
2016-09-13T00:00:00+00:00	699451951	1872415371		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	97.88	4	0	4		
2016-09-12T00:00:00+00:00	699281261	1871827861		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	24.47	1	0	1		
2016-09-12T00:00:00+00:00	699280021	1871827861		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	73.41	3	0	3		
2016-09-12T00:00:00+00:00	699150471	1871523111		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	24.47	1	0	1		
2016-09-12T00:00:00+00:00	699149491	1871523111		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	73.41	3	0	3		
2016-09-11T00:00:00+00:00	698216621	1870471841		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	24.47	1	0	1		
2016-09-11T00:00:00+00:00	698216581	1870471841		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	24.47	1	0	1		
2016-09-11T00:00:00+00:00	698216571	1870471841		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	24.47	1	0	1		
2016-09-11T00:00:00+00:00	698216551	1870471841		Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	24.47	1	0	1		
2016-09-10T00:00:00+00:00	697813031	1869758221	112-1495829-2749013	CustomerServiceIssue						USD	41.97	41.97					
2016-09-08T00:00:00+00:00	695692631		103-0186863-6065851	CustomerReturn	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	24.47	1	0	1		
2016-09-07T00:00:00+00:00	693789381			Damaged_Warehouse	IceKing-SC-70	X000YC2AS5	B01BE5Q4FY	Ice King Magnetic Windshield Cover - Huge Size Fits Any Car, Truck, SUV, Van or Automobile - Keeps Ice & Snow Off - Top Quality Exterior Auto Snow Windshield Cover With Magnetic Edges	NewItem	USD	17.67	0.00	0	1	1		
2016-09-02T00:00:00+00:00	690476541		105-4969802-9534609	CustomerReturn	Ideapad 700	X00159M9BT	B01FJFN8T0	Lenovo Ideapad 700 - 17.3" FHD Laptop (Intel Core i5, 12 GB RAM, 1TB HDD + 128 GB SSD, NVIDIA GeForce GT940M, Windows 10) 80RV002TUS	NewItem	USD	894.82	894.82	1	0	1		
2016-09-02T00:00:00+00:00	685608141			Damaged_Warehouse	L55W-C5280-T	X0013NSCCR	B01CCCXWRQ	2016 Newest Toshiba Satellite Fusion 15 L55W 15.6" Flagship Touchscreen Laptop- Intel Core i5-5200U Processor, 8GB RAM, 750GB Hard Drive, HD LED Backlit Display, Webcam, HDMI, Bluetooth, Windows 10	NewItem	USD	541.44	541.44	1	0	1		
2016-08-24T00:00:00+00:00	680785011			Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	24.47	1	0	1		
2016-08-21T00:00:00+00:00	678285771			Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	24.47	1	0	1		
2016-08-18T00:00:00+00:00	675535431	1835721391		Lost_Inbound	Samsung C410W	X0015CKQ1B	B00DOV194S	Samsung Xpress SL-C410W/XAA Color Printer	NewItem	USD	104.37	104.37	1	0	1		
2016-08-18T00:00:00+00:00	673037261	1839630651		Lost_Warehouse	OJ-THRV-5B7C	X000YVMX9R	B00RY4X8A4	Dell XPS13 XPS13-9343 13.3-inch Ultrabook Computer (2.2 GHz Intel Core i5 Processor, 4 GB DDR3 SDRAM, 128 GB Solid State Hard Drive, Windows 8)	NewItem	USD	698.41	0.00	0	1	1		
2016-08-17T00:00:00+00:00	675003771	1839615091	115-5897784-3677028	CustomerServiceIssue	0B-0QPS-5FKH	X0012SCG2P	B016RH3DSA	Dell XPS13-9343 13.3 Inch Ultrabook (Intel i5-5200U 2.2GHz, 4GB DDR3 RAM, 128GB SSD, Windows 10 Home)	NewItem	USD	817.24	817.24	1		1		
2016-08-14T00:00:00+00:00	672131641		114-8905055-8087402	CustomerReturn	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	27.87	27.87	1	0	1		
2016-08-13T00:00:00+00:00	671195391			Damaged_Warehouse	GH-50	X0013ANGIZ	B01CXHXJKK	*FULL SET* 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	NewItem	USD	24.47	24.47	1	0	1		
